latitude,longitude,REGION,SUC,Total_Student_Enrolment_2015_2016,weighted_enrolment_2015_16,Personal_Services_and_MOOE_2016,Cost_per_Student
14.598909,121.000714,National Capital Region,Eulogio "Amang" Rodriguez Institute of Science and Technology,25641,26075,195232,7487
14.632179,121.09842,National Capital Region,Marikina Polytechnic College,10154,9559,94182,9853
14.58773,120.983117,National Capital Region,Philippine Normal University,10409,11231,496485,44207
14.526661,121.023652,National Capital Region,Philippine State College of Aeronautics,10264,10289,89672,8716
14.597929,121.010756,National Capital Region,Polytechnic University of Philippines,79913,81406,1059094,13010
14.57459,121.042304,National Capital Region,Rizal Technological University,31248,31059,323916,10429
14.587373,120.983925,National Capital Region,Technological University of the Philippines,23577,24234,545280,22501
14.655079,121.065145,National Capital Region,University of the Philippines System,58642,65751,9804998,149123
17.609019,120.738048,CAR,Abra State Institute of Science and Technology,5002,4607,119201,25877
17.808777,121.294658,CAR,Apayao State College,2371,2332,75858,32533
16.454314,120.590257,CAR,Benguet State University,11678,11969,411041,34344
16.717641,121.172558,CAR,Ifugao State University,7394,8078,188749,23367
17.401893,121.440262,CAR,Kalinga State University (Kalinga-Apayao State College),6685,6607,122046,18474
17.091597,120.977863,CAR,Mountain Province State University (Mountain Province State Polytechnic College),5352,5517,134896,24453
16.724885,120.39372,I,Don Mariano Marcos Memorial State University,20715,20832,637480,30602
17.365222,120.475683,I,Ilocos Sur Polytechnic State College,6879,6833,152289,22289
18.062452,120.521245,I,Mariano Marcos State University,15033,14741,505666,34303
17.193752,120.436663,I,North Luzon Philippine State College,2928,2928,38233,13058
16.032161,120.22981,I,Pangasinan State University,27409,27758,380035,13691
17.561126,120.383361,I,University of Northern Philippines,13388,13188,313405,23764
20.450583,121.968465,II,Batanes State College,605,552,27290,49438
17.619684,121.72533,II,Cagayan State University,46221,46882,459878,9809
16.722122,121.691903,II,Isabela State University,39075,39588,608920,15381
16.480185,121.144328,II,Nueva Viscaya State University,10725,10943,296638,27109
16.600716,121.506362,II,Quirino State College,5098,4943,90942,18398
15.744039,121.57665,III,Aurora State College of Technology,2675,2670,67704,25360
14.73827,120.446491,III,Bataan Peninsula State University,17842,18107,261857,14462
15.073149,120.957,III,Bulacan Agricultural State College,4734,4855,77074,15877
14.857932,120.813636,III,Bulacan State University,50587,51311,403496,7864
15.730461,120.92974,III,Central Luzon State University,14022,14034,573017,40831
14.997739,120.65412,III,Don Honorio Ventura Technological State University,18866,19282,180506,9362
15.488584,120.971463,III,Nueva Ecija University of Science & Technology,38002,37428,284602,7604
15.218984,120.694932,III,Pampanga State Agricultural University (Pampanga Agricultural College),7431,7819,151124,19329
14.998743,120.071619,III,Philippine Merchant Marine Academy,-,-,148238,-
15.318894,119.984071,III,Ramon Magsaysay Technological University,10479,10554,148446,14066
15.634397,120.414517,III,Tarlac College of Agriculture,4865,4622,170615,36912
15.485415,120.586837,III,Tarlac State University,20983,21332,233697,10955
13.754581,121.053072,IV-A,Batangas State University,41881,40213,375473,9337
14.197816,120.88149,IV-A,Cavite State University,39916,39799,366790,9216
