Region,suc,total_enrolment_headcount_ay_2015_16,weighted_enrolment_ay_2015_16,2016_personal_services_plus_mooe,per_student_cost
National Capital Region,Eulogio "Amang" Rodriguez Institute of Science and Technology,"25,641","26,075","195,232","7,487"
National Capital Region,Marikina Polytechnic College,"10,154","9,559","94,182","9,853"
National Capital Region,Philippine Normal University,"10,409","11,231","496,485","44,207"
National Capital Region,Philippine State College of Aeronautics,"10,264","10,289","89,672","8,716"
National Capital Region,Polytechnic University of Philippines,"79,913","81,406","1,059,094","13,010"
National Capital Region,Rizal Technological University,"31,248","31,059","323,916","10,429"
National Capital Region,Technological University of the Philippines,"23,577","24,234","545,280","22,501"
National Capital Region,University of the Philippines System,"58,642","65,751","9,804,998","149,123"
CAR,Abra State Institute of Science and Technology,"5,002","4,607","119,201","25,877"
CAR,Apayao State College,"2,371","2,332","75,858","32,533"
CAR,Benguet State University,"11,678","11,969","411,041","34,344"
CAR,Ifugao State University,"7,394","8,078","188,749","23,367"
CAR,Kalinga State University (Kalinga-Apayao State College),"6,685","6,607","122,046","18,474"
CAR,Mountain Province State University (Mountain Province State Polytechnic College),"5,352","5,517","134,896","24,453"
Region I,Don Mariano Marcos Memorial State University,"20,715","20,832","637,480","30,602"
Region I,Ilocos Sur Polytechnic State College,"6,879","6,833","152,289","22,289"
Region I,Mariano Marcos State University,"15,033","14,741","505,666","34,303"
Region I,North Luzon Philippine State College,"2,928","2,928","38,233","13,058"
Region I,Pangasinan State University,"27,409","27,758","380,035","13,691"
Region I,University of Northern Philippines,"13,388","13,188","313,405","23,764"
Region II,Batanes State College,605,552,"27,290","49,438"
Region II,Cagayan State University,"46,221","46,882","459,878","9,809"
Region II,Isabela State University,"39,075","39,588","608,920","15,381"
Region II,Nueva Viscaya State University,"10,725","10,943","296,638","27,109"
Region II,Quirino State College,"5,098","4,943","90,942","18,398"
Region III,Aurora State College of Technology,"2,675","2,670","67,704","25,360"
Region III,Bataan Peninsula State University,"17,842","18,107","261,857","14,462"
Region III,Bulacan Agricultural State College,"4,734","4,855","77,074","15,877"
Region III,Bulacan State University,"50,587","51,311","403,496","7,864"
Region III,Central Luzon State University,"14,022","14,034","573,017","40,831"
Region III,Don Honorio Ventura Technological State University,"18,866","19,282","180,506","9,362"
Region III,Nueva Ecija University of Science & Technology,"38,002","37,428","284,602","7,604"
Region III,Pampanga State Agricultural University (Pampanga Agricultural College),"7,431","7,819","151,124","19,329"
Region III,Philippine Merchant Marine Academy,-,-,"148,238",
Region III,Ramon Magsaysay Technological University,"10,479","10,554","148,446","14,066"
Region III,Tarlac College of Agriculture,"4,865","4,622","170,615","36,912"
Region III,Tarlac State University,"20,983","21,332","233,697","10,955"
Region IV-A,Batangas State University,"41,881","40,213","375,473","9,337"
Region IV-A,Cavite State University,"39,916","39,799","366,790","9,216"
Region IV-A,Laguna State Polytechnic University,"26,887","27,839","289,838","10,411"
Region IV-A,Southern Luzon State University,"19,140","18,656","259,105","13,888"
Region IV-A,University of Rizal System,"27,112","27,198","334,726","12,307"
Region IV-B,Marinduque State College,"6,856","6,916","112,658","16,291"
Region IV-B,Mindoro State University (Mindoro State College of Agriculture & Technology),"8,397","8,422","146,569","17,404"
Region IV-B,Occidental Mindoro State College,"11,645","11,307","181,403","16,044"
Region IV-B,Palawan State University,"27,357","27,067","274,668","10,148"
Region IV-B,Romblon State University,"11,579","11,479","181,515","15,813"
Region IV-B,Western Philippines University,"8,026","8,081","185,560","22,962"
Region V,Bicol University,"27,017","27,726","637,879","23,007"
Region V,Bicol State College of Applied Sciences and Technology,"5,183","5,183","87,824","16,945"
Region V,Camarines Norte State College,"8,249","8,050","187,645","23,311"
Region V,Camarines Sur Polytechnic Colleges,"5,502","5,045","99,764","19,777"
Region V,Central Bicol State University of Agriculture,"12,762","12,665","297,123","23,460"
Region V,Catanduanes State College,"10,007","9,970","237,213","23,794"
